alert_id,rule_id,resource_id,triggered_at,operating_date,hour_ending,severity,message,details_json,status,acknowledged_by,acknowledged_at,resolved_by,resolved_at,resolution_notes,market
9d17f2c6-e8e1-407d-b15f-c502c870e171,E1,RES-002,2026-08-14 20:30:37.532218,2025-07-03,11.0,RED,Burns Battery: Generating 58.5 MW at LMP $-42.25 with SOC at 0.0%,"{""actual_mw"": 58.47, ""da_lmp"": -42.25, ""soc_pct"": 0.0}",OPEN,,,,,,DA
8fb38616-dba4-41f3-a3c0-44d3b722337d,E1,RES-002,2026-08-14 20:30:37.532218,2025-07-03,12.0,RED,Burns Battery: Generating 74.1 MW at LMP $-24.85 with SOC at 0.0%,"{""actual_mw"": 74.13, ""da_lmp"": -24.85, ""soc_pct"": 0.0}",OPEN,,,,,,DA
ebb8af4d-3e91-4b70-b935-db18fbf1169e,E1,RES-002,2026-08-14 20:30:37.532218,2025-07-03,13.0,RED,Burns Battery: Generating 56.7 MW at LMP $-45.50 with SOC at 0.0%,"{""actual_mw"": 56.73, ""da_lmp"": -45.5, ""soc_pct"": 0.0}",OPEN,,,,,,DA
7d74a2ff-59ea-4216-8a49-ab23d7d0db6b,E1,RES-002,2026-08-14 20:30:37.532218,2025-07-03,15.0,RED,Burns Battery: Generating 51.7 MW at LMP $-28.47 with SOC at 0.0%,"{""actual_mw"": 51.66, ""da_lmp"": -28.47, ""soc_pct"": 0.0}",OPEN,,,,,,DA
30a08896-901a-4eb1-b539-a3fc00151ebb,E1,RES-002,2026-08-14 20:30:37.532218,2025-07-05,12.0,RED,Burns Battery: Generating 33.3 MW at LMP $-25.17 with SOC at 0.0%,"{""actual_mw"": 33.28, ""da_lmp"": -25.17, ""soc_pct"": 0.0}",OPEN,,,,,,DA
a04c7275-6d41-4db4-9181-ad4d45a45d10,E1,RES-002,2026-08-14 20:30:37.532218,2025-07-05,13.0,RED,Burns Battery: Generating 80.6 MW at LMP $-22.24 with SOC at 0.0%,"{""actual_mw"": 80.62, ""da_lmp"": -22.24, ""soc_pct"": 0.0}",OPEN,,,,,,DA
de99c681-6697-43d4-b89d-5dfcd8f74b8e,E1,RES-002,2026-08-14 20:30:37.532218,2025-07-06,12.0,RED,Burns Battery: Generating 56.5 MW at LMP $-25.48 with SOC at 0.0%,"{""actual_mw"": 56.54, ""da_lmp"": -25.48, ""soc_pct"": 0.0}",OPEN,,,,,,DA
ce0bb17b-c7a6-4751-a5fb-0eed135acaee,E1,RES-002,2026-08-14 20:30:37.532218,2025-07-06,13.0,RED,Burns Battery: Generating 33.7 MW at LMP $-55.81 with SOC at 0.0%,"{""actual_mw"": 33.73, ""da_lmp"": -55.81, ""soc_pct"": 0.0}",OPEN,,,,,,DA
f8011cc8-fa04-40bc-a425-326446f7ee6d,E1,RES-002,2026-08-14 20:30:37.532218,2025-07-06,15.0,RED,Burns Battery: Generating 67.2 MW at LMP $-59.79 with SOC at 0.0%,"{""actual_mw"": 67.25, ""da_lmp"": -59.79, ""soc_pct"": 0.0}",OPEN,,,,,,DA
f7a24c31-4311-4957-ad37-c964a6a599a9,E1,RES-002,2026-08-14 20:30:37.532218,2025-07-07,12.0,RED,Burns Battery: Generating 63.9 MW at LMP $-51.27 with SOC at 0.0%,"{""actual_mw"": 63.85, ""da_lmp"": -51.27, ""soc_pct"": 0.0}",OPEN,,,,,,DA
