award_id,resource_id,market,operating_date,hour_ending,awarded_mw,clearing_price,product
AWD-000001,RES-001,DA,2025-07-01,7,9.9,48.63,energy
AWD-000002,RES-001,DA,2025-07-01,8,21.2,19.13,energy
AWD-000003,RES-001,DA,2025-07-01,9,25.6,29.81,energy
AWD-000004,RES-001,DA,2025-07-01,10,39.0,31.38,energy
AWD-000005,RES-001,DA,2025-07-01,11,40.0,51.64,energy
AWD-000006,RES-001,DA,2025-07-01,12,39.5,16.69,energy
AWD-000007,RES-001,DA,2025-07-01,13,22.0,1.39,energy
AWD-000008,RES-001,DA,2025-07-01,14,46.3,-13.77,energy
AWD-000009,RES-001,DA,2025-07-01,15,42.0,-0.02,energy
AWD-000010,RES-001,DA,2025-07-01,16,37.5,-0.04,energy
AWD-000011,RES-001,DA,2025-07-01,17,16.7,79.6,energy
AWD-000012,RES-001,DA,2025-07-01,18,17.5,104.68,energy
AWD-000013,RES-001,DA,2025-07-01,19,5.5,86.27,energy
AWD-000014,RES-001,DA,2025-07-02,7,9.7,37.81,energy
AWD-000015,RES-001,DA,2025-07-02,8,18.6,28.4,energy
AWD-000016,RES-001,DA,2025-07-02,9,27.1,57.19,energy
AWD-000017,RES-001,DA,2025-07-02,10,37.3,43.92,energy
AWD-000018,RES-001,DA,2025-07-02,11,42.0,24.04,energy
AWD-000019,RES-001,DA,2025-07-02,12,28.0,24.03,energy
AWD-000020,RES-001,DA,2025-07-02,13,41.7,14.1,energy
AWD-000021,RES-001,DA,2025-07-02,15,42.0,17.18,energy
AWD-000022,RES-001,DA,2025-07-02,16,37.2,17.29,energy
AWD-000023,RES-001,DA,2025-07-02,17,26.6,73.41,energy
AWD-000024,RES-001,DA,2025-07-02,18,17.4,124.34,energy
AWD-000025,RES-001,DA,2025-07-02,19,9.1,55.75,energy
AWD-000026,RES-001,DA,2025-07-03,7,10.9,48.86,energy
AWD-000027,RES-001,DA,2025-07-03,8,20.8,16.22,energy
AWD-000028,RES-001,DA,2025-07-03,9,26.4,45.9,energy
AWD-000029,RES-001,DA,2025-07-03,10,31.4,42.11,energy
AWD-000030,RES-001,DA,2025-07-03,12,39.1,-24.18,energy
AWD-000031,RES-001,DA,2025-07-03,16,38.8,16.71,energy
AWD-000032,RES-001,DA,2025-07-03,17,27.9,94.21,energy
AWD-000033,RES-001,DA,2025-07-03,18,13.1,126.5,energy
AWD-000034,RES-001,DA,2025-07-03,19,9.6,70.34,energy
AWD-000035,RES-001,DA,2025-07-04,7,9.6,56.81,energy
AWD-000036,RES-001,DA,2025-07-04,8,21.6,32.69,energy
AWD-000037,RES-001,DA,2025-07-04,9,28.7,51.19,energy
AWD-000038,RES-001,DA,2025-07-04,10,22.2,73.45,energy
AWD-000039,RES-001,DA,2025-07-04,11,42.8,-3.84,energy
AWD-000040,RES-001,DA,2025-07-04,12,46.9,-5.4,energy
AWD-000041,RES-001,DA,2025-07-04,13,46.6,23.53,energy
AWD-000042,RES-001,DA,2025-07-04,14,34.5,35.68,energy
AWD-000043,RES-001,DA,2025-07-04,15,39.1,51.34,energy
AWD-000044,RES-001,DA,2025-07-04,16,38.5,83.0,energy
AWD-000045,RES-001,DA,2025-07-04,17,26.3,54.29,energy
AWD-000046,RES-001,DA,2025-07-04,18,19.0,94.47,energy
