bid_id,resource_id,market,operating_date,hour_ending,bid_mw,bid_price,bid_type,product,submitted_at,bid_status
BID-00001,RES-001,DA,2025-07-01,1,50,-36.55,supply,energy,2025-06-30 10:00:00,VALID
BID-00002,RES-001,DA,2025-07-01,2,50,-21.73,supply,energy,2025-06-30 10:00:00,VALID
BID-00003,RES-001,DA,2025-07-01,3,50,-36.0,supply,energy,2025-06-30 10:00:00,VALID
BID-00004,RES-001,DA,2025-07-01,4,50,-32.78,supply,energy,2025-06-30 10:00:00,VALID
BID-00005,RES-001,DA,2025-07-01,5,50,-30.19,supply,energy,2025-06-30 10:00:00,VALID
BID-00006,RES-001,DA,2025-07-01,6,50,-14.23,supply,energy,2025-06-30 10:00:00,VALID
BID-00007,RES-001,DA,2025-07-01,7,50,-20.02,supply,energy,2025-06-30 10:00:00,VALID
BID-00008,RES-001,DA,2025-07-01,8,50,-23.77,supply,energy,2025-06-30 10:00:00,VALID
BID-00009,RES-001,DA,2025-07-01,9,50,-39.13,supply,energy,2025-06-30 10:00:00,VALID
BID-00010,RES-001,DA,2025-07-01,10,50,-17.99,supply,energy,2025-06-30 10:00:00,VALID
BID-00011,RES-001,DA,2025-07-01,11,50,-28.15,supply,energy,2025-06-30 10:00:00,VALID
BID-00012,RES-001,DA,2025-07-01,12,50,-15.94,supply,energy,2025-06-30 10:00:00,VALID
BID-00013,RES-001,DA,2025-07-01,13,50,-32.37,supply,energy,2025-06-30 10:00:00,VALID
BID-00014,RES-001,DA,2025-07-01,14,50,-38.29,supply,energy,2025-06-30 10:00:00,VALID
BID-00015,RES-001,DA,2025-07-01,15,50,-14.0,supply,energy,2025-06-30 10:00:00,VALID
BID-00016,RES-001,DA,2025-07-01,16,50,-33.37,supply,energy,2025-06-30 10:00:00,VALID
BID-00017,RES-001,DA,2025-07-01,17,50,-27.85,supply,energy,2025-06-30 10:00:00,VALID
BID-00018,RES-001,DA,2025-07-01,18,50,-30.52,supply,energy,2025-06-30 10:00:00,VALID
BID-00019,RES-001,DA,2025-07-01,19,50,-37.7,supply,energy,2025-06-30 10:00:00,VALID
BID-00020,RES-001,DA,2025-07-01,20,50,-14.7,supply,energy,2025-06-30 10:00:00,VALID
BID-00021,RES-001,DA,2025-07-01,21,50,-14.53,supply,energy,2025-06-30 10:00:00,VALID
BID-00022,RES-001,DA,2025-07-01,22,50,-10.86,supply,energy,2025-06-30 10:00:00,VALID
BID-00023,RES-001,DA,2025-07-01,23,50,-28.44,supply,energy,2025-06-30 10:00:00,VALID
BID-00024,RES-001,DA,2025-07-01,24,50,-11.37,supply,energy,2025-06-30 10:00:00,VALID
BID-00025,RES-001,DA,2025-07-02,1,50,-26.63,supply,energy,2025-07-01 10:00:00,VALID
BID-00026,RES-001,DA,2025-07-02,2,50,-19.91,supply,energy,2025-07-01 10:00:00,VALID
BID-00027,RES-001,DA,2025-07-02,3,50,-37.52,supply,energy,2025-07-01 10:00:00,VALID
BID-00028,RES-001,DA,2025-07-02,4,50,-13.09,supply,energy,2025-07-01 10:00:00,VALID
BID-00029,RES-001,DA,2025-07-02,5,50,-31.06,supply,energy,2025-07-01 10:00:00,VALID
BID-00030,RES-001,DA,2025-07-02,6,50,-32.13,supply,energy,2025-07-01 10:00:00,VALID
BID-00031,RES-001,DA,2025-07-02,7,50,-39.85,supply,energy,2025-07-01 10:00:00,VALID
BID-00032,RES-001,DA,2025-07-02,8,50,-23.7,supply,energy,2025-07-01 10:00:00,VALID
BID-00033,RES-001,DA,2025-07-02,9,50,-25.73,supply,energy,2025-07-01 10:00:00,VALID
BID-00034,RES-001,DA,2025-07-02,10,50,-20.91,supply,energy,2025-07-01 10:00:00,VALID
BID-00035,RES-001,DA,2025-07-02,11,50,-10.65,supply,energy,2025-07-01 10:00:00,VALID
BID-00036,RES-001,DA,2025-07-02,12,50,-12.74,supply,energy,2025-07-01 10:00:00,VALID
BID-00037,RES-001,DA,2025-07-02,13,50,-12.7,supply,energy,2025-07-01 10:00:00,VALID
BID-00038,RES-001,DA,2025-07-02,14,50,-24.24,supply,energy,2025-07-01 10:00:00,VALID
BID-00039,RES-001,DA,2025-07-02,15,50,-36.88,supply,energy,2025-07-01 10:00:00,VALID
BID-00040,RES-001,DA,2025-07-02,16,50,-34.57,supply,energy,2025-07-01 10:00:00,VALID
BID-00041,RES-001,DA,2025-07-02,17,50,-11.41,supply,energy,2025-07-01 10:00:00,VALID
BID-00042,RES-001,DA,2025-07-02,18,50,-27.64,supply,energy,2025-07-01 10:00:00,VALID
BID-00043,RES-001,DA,2025-07-02,19,50,-14.05,supply,energy,2025-07-01 10:00:00,VALID
BID-00044,RES-001,DA,2025-07-02,20,50,-19.83,supply,energy,2025-07-01 10:00:00,VALID
BID-00045,RES-001,DA,2025-07-02,21,50,-21.14,supply,energy,2025-07-01 10:00:00,VALID
BID-00046,RES-001,DA,2025-07-02,22,50,-31.73,supply,energy,2025-07-01 10:00:00,VALID
BID-00047,RES-001,DA,2025-07-02,23,50,-13.1,supply,energy,2025-07-01 10:00:00,VALID
BID-00048,RES-001,DA,2025-07-02,24,50,-33.79,supply,energy,2025-07-01 10:00:00,VALID
BID-00049,RES-001,DA,2025-07-03,1,50,-27.87,supply,energy,2025-07-02 10:00:00,VALID
BID-00050,RES-001,DA,2025-07-03,2,50,-10.19,supply,energy,2025-07-02 10:00:00,VALID
BID-00051,RES-001,DA,2025-07-03,3,50,-17.93,supply,energy,2025-07-02 10:00:00,VALID
BID-00052,RES-001,DA,2025-07-03,4,50,-26.65,supply,energy,2025-07-02 10:00:00,VALID
BID-00053,RES-001,DA,2025-07-03,5,50,-23.18,supply,energy,2025-07-02 10:00:00,VALID
BID-00054,RES-001,DA,2025-07-03,6,50,-27.66,supply,energy,2025-07-02 10:00:00,VALID
BID-00055,RES-001,DA,2025-07-03,7,50,-18.19,supply,energy,2025-07-02 10:00:00,VALID
BID-00056,RES-001,DA,2025-07-03,8,50,-28.02,supply,energy,2025-07-02 10:00:00,VALID
BID-00057,RES-001,DA,2025-07-03,9,50,-19.9,supply,energy,2025-07-02 10:00:00,VALID
BID-00058,RES-001,DA,2025-07-03,10,50,-18.86,supply,energy,2025-07-02 10:00:00,VALID
BID-00059,RES-001,DA,2025-07-03,11,50,-21.71,supply,energy,2025-07-02 10:00:00,VALID
BID-00060,RES-001,DA,2025-07-03,12,50,-23.8,supply,energy,2025-07-02 10:00:00,VALID
BID-00061,RES-001,DA,2025-07-03,13,50,-33.82,supply,energy,2025-07-02 10:00:00,VALID
BID-00062,RES-001,DA,2025-07-03,14,50,-34.03,supply,energy,2025-07-02 10:00:00,VALID
BID-00063,RES-001,DA,2025-07-03,15,50,-16.13,supply,energy,2025-07-02 10:00:00,VALID
BID-00064,RES-001,DA,2025-07-03,16,50,-31.29,supply,energy,2025-07-02 10:00:00,VALID
BID-00065,RES-001,DA,2025-07-03,17,50,-20.32,supply,energy,2025-07-02 10:00:00,VALID
BID-00066,RES-001,DA,2025-07-03,18,50,-31.01,supply,energy,2025-07-02 10:00:00,VALID
BID-00067,RES-001,DA,2025-07-03,19,50,-35.67,supply,energy,2025-07-02 10:00:00,VALID
BID-00068,RES-001,DA,2025-07-03,20,50,-27.88,supply,energy,2025-07-02 10:00:00,VALID
BID-00069,RES-001,DA,2025-07-03,21,50,-30.69,supply,energy,2025-07-02 10:00:00,VALID
BID-00070,RES-001,DA,2025-07-03,22,50,-32.7,supply,energy,2025-07-02 10:00:00,VALID
BID-00071,RES-001,DA,2025-07-03,23,50,-22.36,supply,energy,2025-07-02 10:00:00,VALID
BID-00072,RES-001,DA,2025-07-03,24,50,-32.64,supply,energy,2025-07-02 10:00:00,VALID
BID-00073,RES-001,DA,2025-07-04,1,50,-17.57,supply,energy,2025-07-03 10:00:00,VALID
BID-00074,RES-001,DA,2025-07-04,2,50,-18.4,supply,energy,2025-07-03 10:00:00,VALID
BID-00075,RES-001,DA,2025-07-04,3,50,-19.14,supply,energy,2025-07-03 10:00:00,VALID
BID-00076,RES-001,DA,2025-07-04,4,50,-36.92,supply,energy,2025-07-03 10:00:00,VALID
BID-00077,RES-001,DA,2025-07-04,5,50,-11.69,supply,energy,2025-07-03 10:00:00,VALID
BID-00078,RES-001,DA,2025-07-04,6,50,-24.9,supply,energy,2025-07-03 10:00:00,VALID
BID-00079,RES-001,DA,2025-07-04,7,50,-13.01,supply,energy,2025-07-03 10:00:00,VALID
BID-00080,RES-001,DA,2025-07-04,8,50,-34.04,supply,energy,2025-07-03 10:00:00,VALID
BID-00081,RES-001,DA,2025-07-04,9,50,-22.17,supply,energy,2025-07-03 10:00:00,VALID
BID-00082,RES-001,DA,2025-07-04,10,50,-11.04,supply,energy,2025-07-03 10:00:00,VALID
