dispatch_id,resource_id,operating_date,timestamp,instructed_mw,duration_min
DSP-00001,RES-002,2025-07-01,2025-07-01 00:00:00,-49.2,60
DSP-00002,RES-002,2025-07-01,2025-07-01 01:00:00,69.7,60
DSP-00003,RES-002,2025-07-01,2025-07-01 02:00:00,79.3,60
DSP-00004,RES-002,2025-07-01,2025-07-01 03:00:00,42.5,60
DSP-00005,RES-002,2025-07-01,2025-07-01 04:00:00,-11.3,60
DSP-00006,RES-002,2025-07-01,2025-07-01 05:00:00,9.1,60
DSP-00007,RES-002,2025-07-01,2025-07-01 06:00:00,66.7,60
DSP-00008,RES-002,2025-07-01,2025-07-01 07:00:00,44.9,60
DSP-00009,RES-002,2025-07-01,2025-07-01 08:00:00,17.5,60
DSP-00010,RES-002,2025-07-01,2025-07-01 09:00:00,40.4,60
DSP-00011,RES-002,2025-07-01,2025-07-01 10:00:00,-24.1,60
DSP-00012,RES-002,2025-07-01,2025-07-01 13:00:00,50.8,60
DSP-00013,RES-002,2025-07-01,2025-07-01 14:00:00,-0.6,60
DSP-00014,RES-002,2025-07-01,2025-07-01 15:00:00,-27.7,60
DSP-00015,RES-002,2025-07-01,2025-07-01 21:00:00,-44.8,60
DSP-00016,RES-002,2025-07-01,2025-07-01 22:00:00,30.4,60
DSP-00017,RES-002,2025-07-01,2025-07-01 23:00:00,63.5,60
DSP-00018,RES-002,2025-07-02,2025-07-02 00:00:00,18.0,60
DSP-00019,RES-002,2025-07-02,2025-07-02 01:00:00,-36.8,60
DSP-00020,RES-002,2025-07-02,2025-07-02 02:00:00,0.5,60
DSP-00021,RES-002,2025-07-02,2025-07-02 04:00:00,-30.2,60
DSP-00022,RES-002,2025-07-02,2025-07-02 05:00:00,4.8,60
DSP-00023,RES-002,2025-07-02,2025-07-02 08:00:00,69.1,60
DSP-00024,RES-002,2025-07-02,2025-07-02 09:00:00,55.1,60
DSP-00025,RES-002,2025-07-02,2025-07-02 10:00:00,59.3,60
DSP-00026,RES-002,2025-07-02,2025-07-02 11:00:00,7.6,60
DSP-00027,RES-002,2025-07-02,2025-07-02 12:00:00,79.8,60
DSP-00028,RES-002,2025-07-02,2025-07-02 13:00:00,18.7,60
DSP-00029,RES-002,2025-07-02,2025-07-02 14:00:00,19.2,60
DSP-00030,RES-002,2025-07-02,2025-07-02 15:00:00,16.1,60
DSP-00031,RES-002,2025-07-02,2025-07-02 17:00:00,20.8,60
DSP-00032,RES-002,2025-07-02,2025-07-02 19:00:00,4.8,60
DSP-00033,RES-002,2025-07-02,2025-07-02 20:00:00,-25.2,60
DSP-00034,RES-002,2025-07-02,2025-07-02 21:00:00,19.2,60
DSP-00035,RES-002,2025-07-02,2025-07-02 22:00:00,62.6,60
DSP-00036,RES-002,2025-07-03,2025-07-03 02:00:00,-45.6,60
DSP-00037,RES-002,2025-07-03,2025-07-03 04:00:00,-0.4,60
DSP-00038,RES-002,2025-07-03,2025-07-03 05:00:00,63.7,60
DSP-00039,RES-002,2025-07-03,2025-07-03 06:00:00,-5.0,60
DSP-00040,RES-002,2025-07-03,2025-07-03 07:00:00,-43.4,60
DSP-00041,RES-002,2025-07-03,2025-07-03 08:00:00,32.9,60
DSP-00042,RES-002,2025-07-03,2025-07-03 09:00:00,3.1,60
DSP-00043,RES-002,2025-07-03,2025-07-03 11:00:00,33.7,60
DSP-00044,RES-002,2025-07-03,2025-07-03 12:00:00,-33.1,60
DSP-00045,RES-002,2025-07-03,2025-07-03 13:00:00,-30.5,60
DSP-00046,RES-002,2025-07-03,2025-07-03 18:00:00,44.6,60
DSP-00047,RES-002,2025-07-03,2025-07-03 20:00:00,55.7,60
DSP-00048,RES-002,2025-07-03,2025-07-03 21:00:00,9.7,60
DSP-00049,RES-002,2025-07-03,2025-07-03 22:00:00,-32.5,60
DSP-00050,RES-002,2025-07-03,2025-07-03 23:00:00,4.8,60
DSP-00051,RES-002,2025-07-04,2025-07-04 01:00:00,62.8,60
DSP-00052,RES-002,2025-07-04,2025-07-04 02:00:00,13.1,60
DSP-00053,RES-002,2025-07-04,2025-07-04 03:00:00,66.1,60
DSP-00054,RES-002,2025-07-04,2025-07-04 05:00:00,-25.4,60
DSP-00055,RES-002,2025-07-04,2025-07-04 06:00:00,17.6,60
DSP-00056,RES-002,2025-07-04,2025-07-04 07:00:00,2.3,60
DSP-00057,RES-002,2025-07-04,2025-07-04 08:00:00,24.3,60
DSP-00058,RES-002,2025-07-04,2025-07-04 09:00:00,49.3,60
DSP-00059,RES-002,2025-07-04,2025-07-04 10:00:00,56.3,60
DSP-00060,RES-002,2025-07-04,2025-07-04 11:00:00,-25.0,60
DSP-00061,RES-002,2025-07-04,2025-07-04 14:00:00,1.1,60
DSP-00062,RES-002,2025-07-04,2025-07-04 15:00:00,26.4,60
DSP-00063,RES-002,2025-07-04,2025-07-04 16:00:00,11.3,60
DSP-00064,RES-002,2025-07-04,2025-07-04 17:00:00,-0.5,60
DSP-00065,RES-002,2025-07-04,2025-07-04 18:00:00,-29.5,60
DSP-00066,RES-002,2025-07-04,2025-07-04 19:00:00,58.4,60
DSP-00067,RES-002,2025-07-04,2025-07-04 21:00:00,36.3,60
DSP-00068,RES-002,2025-07-04,2025-07-04 22:00:00,35.6,60
DSP-00069,RES-002,2025-07-05,2025-07-05 00:00:00,-13.9,60
DSP-00070,RES-002,2025-07-05,2025-07-05 01:00:00,30.6,60
DSP-00071,RES-002,2025-07-05,2025-07-05 02:00:00,-43.1,60
DSP-00072,RES-002,2025-07-05,2025-07-05 04:00:00,-20.5,60
DSP-00073,RES-002,2025-07-05,2025-07-05 05:00:00,-2.9,60
DSP-00074,RES-002,2025-07-05,2025-07-05 06:00:00,-9.3,60
DSP-00075,RES-002,2025-07-05,2025-07-05 07:00:00,57.1,60
DSP-00076,RES-002,2025-07-05,2025-07-05 08:00:00,73.9,60
DSP-00077,RES-002,2025-07-05,2025-07-05 09:00:00,50.3,60
DSP-00078,RES-002,2025-07-05,2025-07-05 10:00:00,50.5,60
DSP-00079,RES-002,2025-07-05,2025-07-05 11:00:00,-13.7,60
DSP-00080,RES-002,2025-07-05,2025-07-05 12:00:00,-47.0,60
DSP-00081,RES-002,2025-07-05,2025-07-05 13:00:00,-32.1,60
DSP-00082,RES-002,2025-07-05,2025-07-05 14:00:00,9.6,60
DSP-00083,RES-002,2025-07-05,2025-07-05 17:00:00,45.8,60
DSP-00084,RES-002,2025-07-05,2025-07-05 18:00:00,-17.7,60
DSP-00085,RES-002,2025-07-05,2025-07-05 19:00:00,-30.9,60
DSP-00086,RES-002,2025-07-05,2025-07-05 20:00:00,71.9,60
DSP-00087,RES-002,2025-07-05,2025-07-05 21:00:00,10.9,60
DSP-00088,RES-002,2025-07-05,2025-07-05 23:00:00,-36.6,60
DSP-00089,RES-002,2025-07-06,2025-07-06 00:00:00,57.0,60
DSP-00090,RES-002,2025-07-06,2025-07-06 01:00:00,44.4,60
DSP-00091,RES-002,2025-07-06,2025-07-06 04:00:00,60.4,60
DSP-00092,RES-002,2025-07-06,2025-07-06 05:00:00,68.2,60
DSP-00093,RES-002,2025-07-06,2025-07-06 07:00:00,30.5,60
DSP-00094,RES-002,2025-07-06,2025-07-06 08:00:00,58.4,60
DSP-00095,RES-002,2025-07-06,2025-07-06 10:00:00,-28.0,60
DSP-00096,RES-002,2025-07-06,2025-07-06 11:00:00,-3.1,60
DSP-00097,RES-002,2025-07-06,2025-07-06 12:00:00,36.5,60
DSP-00098,RES-002,2025-07-06,2025-07-06 13:00:00,5.7,60
DSP-00099,RES-002,2025-07-06,2025-07-06 15:00:00,15.0,60
DSP-00100,RES-002,2025-07-06,2025-07-06 16:00:00,17.7,60
DSP-00101,RES-002,2025-07-06,2025-07-06 17:00:00,-4.7,60
DSP-00102,RES-002,2025-07-06,2025-07-06 18:00:00,-11.1,60
DSP-00103,RES-002,2025-07-06,2025-07-06 19:00:00,-12.6,60
DSP-00104,RES-002,2025-07-06,2025-07-06 20:00:00,12.8,60
DSP-00105,RES-002,2025-07-06,2025-07-06 21:00:00,-2.5,60
DSP-00106,RES-002,2025-07-06,2025-07-06 22:00:00,41.5,60
DSP-00107,RES-002,2025-07-06,2025-07-06 23:00:00,-33.1,60
DSP-00108,RES-002,2025-07-07,2025-07-07 00:00:00,-26.8,60
DSP-00109,RES-002,2025-07-07,2025-07-07 01:00:00,68.8,60
DSP-00110,RES-002,2025-07-07,2025-07-07 02:00:00,8.1,60
DSP-00111,RES-002,2025-07-07,2025-07-07 03:00:00,-21.8,60
DSP-00112,RES-002,2025-07-07,2025-07-07 04:00:00,-28.4,60
DSP-00113,RES-002,2025-07-07,2025-07-07 05:00:00,78.6,60
DSP-00114,RES-002,2025-07-07,2025-07-07 06:00:00,3.3,60
DSP-00115,RES-002,2025-07-07,2025-07-07 07:00:00,68.2,60
DSP-00116,RES-002,2025-07-07,2025-07-07 08:00:00,-2.7,60
DSP-00117,RES-002,2025-07-07,2025-07-07 10:00:00,-13.1,60
DSP-00118,RES-002,2025-07-07,2025-07-07 12:00:00,3.0,60
DSP-00119,RES-002,2025-07-07,2025-07-07 14:00:00,-17.6,60
DSP-00120,RES-002,2025-07-07,2025-07-07 15:00:00,-44.5,60
DSP-00121,RES-002,2025-07-07,2025-07-07 18:00:00,-42.9,60
DSP-00122,RES-002,2025-07-07,2025-07-07 20:00:00,-37.0,60
DSP-00123,RES-002,2025-07-07,2025-07-07 22:00:00,65.5,60
DSP-00124,RES-003,2025-07-01,2025-07-01 00:00:00,-9.0,60
DSP-00125,RES-003,2025-07-01,2025-07-01 01:00:00,-3.8,60
DSP-00126,RES-003,2025-07-01,2025-07-01 02:00:00,-30.9,60
DSP-00127,RES-003,2025-07-01,2025-07-01 03:00:00,21.3,60
DSP-00128,RES-003,2025-07-01,2025-07-01 04:00:00,15.5,60
DSP-00129,RES-003,2025-07-01,2025-07-01 05:00:00,10.9,60
DSP-00130,RES-003,2025-07-01,2025-07-01 07:00:00,3.6,60
DSP-00131,RES-003,2025-07-01,2025-07-01 08:00:00,-5.3,60
DSP-00132,RES-003,2025-07-01,2025-07-01 09:00:00,37.7,60
DSP-00133,RES-003,2025-07-01,2025-07-01 10:00:00,-15.0,60
DSP-00134,RES-003,2025-07-01,2025-07-01 11:00:00,-11.5,60
DSP-00135,RES-003,2025-07-01,2025-07-01 13:00:00,2.5,60
DSP-00136,RES-003,2025-07-01,2025-07-01 14:00:00,7.3,60
DSP-00137,RES-003,2025-07-01,2025-07-01 15:00:00,5.9,60
DSP-00138,RES-003,2025-07-01,2025-07-01 17:00:00,-17.3,60
DSP-00139,RES-003,2025-07-01,2025-07-01 18:00:00,8.1,60
DSP-00140,RES-003,2025-07-01,2025-07-01 19:00:00,-4.3,60
DSP-00141,RES-003,2025-07-01,2025-07-01 20:00:00,56.0,60
DSP-00142,RES-003,2025-07-01,2025-07-01 21:00:00,-7.1,60
DSP-00143,RES-003,2025-07-01,2025-07-01 22:00:00,17.5,60
DSP-00144,RES-003,2025-07-01,2025-07-01 23:00:00,-36.1,60
DSP-00145,RES-003,2025-07-02,2025-07-02 02:00:00,-33.4,60
DSP-00146,RES-003,2025-07-02,2025-07-02 03:00:00,-34.6,60
DSP-00147,RES-003,2025-07-02,2025-07-02 04:00:00,58.5,60
DSP-00148,RES-003,2025-07-02,2025-07-02 05:00:00,-18.1,60
DSP-00149,RES-003,2025-07-02,2025-07-02 07:00:00,5.7,60
DSP-00150,RES-003,2025-07-02,2025-07-02 08:00:00,9.2,60
DSP-00151,RES-003,2025-07-02,2025-07-02 09:00:00,12.9,60
DSP-00152,RES-003,2025-07-02,2025-07-02 10:00:00,-0.3,60
DSP-00153,RES-003,2025-07-02,2025-07-02 11:00:00,11.1,60
DSP-00154,RES-003,2025-07-02,2025-07-02 12:00:00,-36.5,60
DSP-00155,RES-003,2025-07-02,2025-07-02 13:00:00,41.2,60
DSP-00156,RES-003,2025-07-02,2025-07-02 14:00:00,9.6,60
DSP-00157,RES-003,2025-07-02,2025-07-02 16:00:00,57.9,60
DSP-00158,RES-003,2025-07-02,2025-07-02 18:00:00,49.4,60
DSP-00159,RES-003,2025-07-02,2025-07-02 19:00:00,43.9,60
DSP-00160,RES-003,2025-07-02,2025-07-02 22:00:00,14.9,60
DSP-00161,RES-003,2025-07-02,2025-07-02 23:00:00,6.4,60
DSP-00162,RES-003,2025-07-03,2025-07-03 01:00:00,57.7,60
DSP-00163,RES-003,2025-07-03,2025-07-03 03:00:00,16.7,60
DSP-00164,RES-003,2025-07-03,2025-07-03 04:00:00,50.2,60
DSP-00165,RES-003,2025-07-03,2025-07-03 05:00:00,54.9,60
DSP-00166,RES-003,2025-07-03,2025-07-03 06:00:00,23.1,60
DSP-00167,RES-003,2025-07-03,2025-07-03 07:00:00,8.9,60
DSP-00168,RES-003,2025-07-03,2025-07-03 08:00:00,14.3,60
DSP-00169,RES-003,2025-07-03,2025-07-03 09:00:00,-32.2,60
DSP-00170,RES-003,2025-07-03,2025-07-03 10:00:00,-10.4,60
DSP-00171,RES-003,2025-07-03,2025-07-03 11:00:00,-11.3,60
DSP-00172,RES-003,2025-07-03,2025-07-03 12:00:00,12.8,60
DSP-00173,RES-003,2025-07-03,2025-07-03 15:00:00,49.2,60
DSP-00174,RES-003,2025-07-03,2025-07-03 16:00:00,53.9,60
DSP-00175,RES-003,2025-07-03,2025-07-03 18:00:00,17.5,60
DSP-00176,RES-003,2025-07-03,2025-07-03 19:00:00,45.6,60
DSP-00177,RES-003,2025-07-03,2025-07-03 20:00:00,6.8,60
DSP-00178,RES-003,2025-07-03,2025-07-03 23:00:00,-22.6,60
DSP-00179,RES-003,2025-07-04,2025-07-04 02:00:00,59.4,60
DSP-00180,RES-003,2025-07-04,2025-07-04 03:00:00,21.0,60
DSP-00181,RES-003,2025-07-04,2025-07-04 05:00:00,31.7,60
DSP-00182,RES-003,2025-07-04,2025-07-04 07:00:00,26.0,60
DSP-00183,RES-003,2025-07-04,2025-07-04 08:00:00,48.3,60
DSP-00184,RES-003,2025-07-04,2025-07-04 10:00:00,37.5,60
DSP-00185,RES-003,2025-07-04,2025-07-04 11:00:00,-13.3,60
DSP-00186,RES-003,2025-07-04,2025-07-04 12:00:00,44.3,60
DSP-00187,RES-003,2025-07-04,2025-07-04 13:00:00,-29.3,60
DSP-00188,RES-003,2025-07-04,2025-07-04 14:00:00,15.0,60
DSP-00189,RES-003,2025-07-04,2025-07-04 15:00:00,42.3,60
DSP-00190,RES-003,2025-07-04,2025-07-04 17:00:00,45.3,60
DSP-00191,RES-003,2025-07-04,2025-07-04 18:00:00,-16.2,60
DSP-00192,RES-003,2025-07-04,2025-07-04 19:00:00,-5.6,60
DSP-00193,RES-003,2025-07-04,2025-07-04 21:00:00,2.1,60
DSP-00194,RES-003,2025-07-04,2025-07-04 22:00:00,-8.9,60
DSP-00195,RES-003,2025-07-04,2025-07-04 23:00:00,29.6,60
DSP-00196,RES-003,2025-07-05,2025-07-05 02:00:00,-11.0,60
DSP-00197,RES-003,2025-07-05,2025-07-05 03:00:00,28.0,60
DSP-00198,RES-003,2025-07-05,2025-07-05 05:00:00,52.9,60
DSP-00199,RES-003,2025-07-05,2025-07-05 06:00:00,-2.2,60
DSP-00200,RES-003,2025-07-05,2025-07-05 07:00:00,-18.8,60
DSP-00201,RES-003,2025-07-05,2025-07-05 08:00:00,39.5,60
DSP-00202,RES-003,2025-07-05,2025-07-05 09:00:00,48.1,60
DSP-00203,RES-003,2025-07-05,2025-07-05 10:00:00,29.8,60
DSP-00204,RES-003,2025-07-05,2025-07-05 12:00:00,10.1,60
DSP-00205,RES-003,2025-07-05,2025-07-05 13:00:00,-33.9,60
DSP-00206,RES-003,2025-07-05,2025-07-05 16:00:00,-32.7,60
DSP-00207,RES-003,2025-07-05,2025-07-05 18:00:00,-18.7,60
DSP-00208,RES-003,2025-07-05,2025-07-05 19:00:00,18.4,60
DSP-00209,RES-003,2025-07-05,2025-07-05 22:00:00,-18.4,60
DSP-00210,RES-003,2025-07-05,2025-07-05 23:00:00,41.9,60
DSP-00211,RES-003,2025-07-06,2025-07-06 02:00:00,46.0,60
DSP-00212,RES-003,2025-07-06,2025-07-06 03:00:00,43.8,60
DSP-00213,RES-003,2025-07-06,2025-07-06 05:00:00,45.7,60
DSP-00214,RES-003,2025-07-06,2025-07-06 07:00:00,4.1,60
DSP-00215,RES-003,2025-07-06,2025-07-06 08:00:00,-19.1,60
DSP-00216,RES-003,2025-07-06,2025-07-06 11:00:00,7.1,60
DSP-00217,RES-003,2025-07-06,2025-07-06 12:00:00,-15.2,60
DSP-00218,RES-003,2025-07-06,2025-07-06 13:00:00,56.4,60
DSP-00219,RES-003,2025-07-06,2025-07-06 14:00:00,12.7,60
DSP-00220,RES-003,2025-07-06,2025-07-06 15:00:00,11.9,60
DSP-00221,RES-003,2025-07-06,2025-07-06 18:00:00,35.0,60
DSP-00222,RES-003,2025-07-06,2025-07-06 19:00:00,55.3,60
DSP-00223,RES-003,2025-07-06,2025-07-06 22:00:00,11.9,60
DSP-00224,RES-003,2025-07-06,2025-07-06 23:00:00,43.5,60
DSP-00225,RES-003,2025-07-07,2025-07-07 00:00:00,-30.2,60
DSP-00226,RES-003,2025-07-07,2025-07-07 01:00:00,-17.4,60
DSP-00227,RES-003,2025-07-07,2025-07-07 03:00:00,33.5,60
