node,operating_date,hour_ending,forecast_lmp,actual_rt_lmp
SPRNGFLD_1_SOLAR,2025-07-01,1,10.93,13.58
SPRNGFLD_1_SOLAR,2025-07-01,2,-18.76,6.34
SPRNGFLD_1_SOLAR,2025-07-01,3,-6.9,5.16
SPRNGFLD_1_SOLAR,2025-07-01,4,1.71,23.45
SPRNGFLD_1_SOLAR,2025-07-01,5,33.97,5.25
SPRNGFLD_1_SOLAR,2025-07-01,6,15.18,18.13
SPRNGFLD_1_SOLAR,2025-07-01,7,36.18,20.48
SPRNGFLD_1_SOLAR,2025-07-01,8,49.64,24.58
SPRNGFLD_1_SOLAR,2025-07-01,9,38.69,5.02
SPRNGFLD_1_SOLAR,2025-07-01,10,31.69,50.0
SPRNGFLD_1_SOLAR,2025-07-01,11,-26.67,-16.75
SPRNGFLD_1_SOLAR,2025-07-01,12,-19.3,-5.0
SPRNGFLD_1_SOLAR,2025-07-01,13,42.69,36.67
SPRNGFLD_1_SOLAR,2025-07-01,14,53.93,37.24
SPRNGFLD_1_SOLAR,2025-07-01,15,41.61,16.83
SPRNGFLD_1_SOLAR,2025-07-01,16,32.01,29.67
SPRNGFLD_1_SOLAR,2025-07-01,17,39.59,45.13
SPRNGFLD_1_SOLAR,2025-07-01,18,20.21,24.32
SPRNGFLD_1_SOLAR,2025-07-01,19,34.34,24.49
SPRNGFLD_1_SOLAR,2025-07-01,20,22.9,-3.01
SPRNGFLD_1_SOLAR,2025-07-01,21,17.81,35.0
SPRNGFLD_1_SOLAR,2025-07-01,22,17.21,32.94
SPRNGFLD_1_SOLAR,2025-07-01,23,1.58,-0.74
SPRNGFLD_1_SOLAR,2025-07-01,24,3.03,11.41
SPRNGFLD_1_SOLAR,2025-07-02,1,13.13,2.74
SPRNGFLD_1_SOLAR,2025-07-02,2,24.74,41.14
SPRNGFLD_1_SOLAR,2025-07-02,3,12.71,4.34
SPRNGFLD_1_SOLAR,2025-07-02,4,38.0,46.68
SPRNGFLD_1_SOLAR,2025-07-02,5,84.59,44.74
SPRNGFLD_1_SOLAR,2025-07-02,6,16.45,25.1
SPRNGFLD_1_SOLAR,2025-07-02,7,33.42,36.63
SPRNGFLD_1_SOLAR,2025-07-02,8,36.51,49.33
SPRNGFLD_1_SOLAR,2025-07-02,9,32.88,16.37
SPRNGFLD_1_SOLAR,2025-07-02,10,42.68,50.59
SPRNGFLD_1_SOLAR,2025-07-02,11,42.27,40.8
SPRNGFLD_1_SOLAR,2025-07-02,12,55.75,64.08
SPRNGFLD_1_SOLAR,2025-07-02,13,71.85,65.67
SPRNGFLD_1_SOLAR,2025-07-02,14,40.42,35.39
SPRNGFLD_1_SOLAR,2025-07-02,15,48.06,18.27
SPRNGFLD_1_SOLAR,2025-07-02,16,37.73,46.88
SPRNGFLD_1_SOLAR,2025-07-02,17,40.95,31.71
SPRNGFLD_1_SOLAR,2025-07-02,18,16.62,9.54
SPRNGFLD_1_SOLAR,2025-07-02,19,30.47,26.86
SPRNGFLD_1_SOLAR,2025-07-02,20,37.89,41.48
SPRNGFLD_1_SOLAR,2025-07-02,21,2.37,-9.43
SPRNGFLD_1_SOLAR,2025-07-02,22,3.88,-12.94
SPRNGFLD_1_SOLAR,2025-07-02,23,1.96,5.21
SPRNGFLD_1_SOLAR,2025-07-02,24,-0.43,3.47
SPRNGFLD_1_SOLAR,2025-07-03,1,4.11,11.57
SPRNGFLD_1_SOLAR,2025-07-03,2,15.04,-5.2
SPRNGFLD_1_SOLAR,2025-07-03,3,17.96,6.28
SPRNGFLD_1_SOLAR,2025-07-03,4,28.38,14.27
SPRNGFLD_1_SOLAR,2025-07-03,5,62.8,59.76
SPRNGFLD_1_SOLAR,2025-07-03,6,29.91,22.34
SPRNGFLD_1_SOLAR,2025-07-03,7,25.58,44.09
SPRNGFLD_1_SOLAR,2025-07-03,8,52.94,70.17
SPRNGFLD_1_SOLAR,2025-07-03,9,54.59,38.75
SPRNGFLD_1_SOLAR,2025-07-03,10,52.05,35.47
SPRNGFLD_1_SOLAR,2025-07-03,11,50.65,40.96
SPRNGFLD_1_SOLAR,2025-07-03,12,42.45,37.34
SPRNGFLD_1_SOLAR,2025-07-03,13,39.92,54.09
SPRNGFLD_1_SOLAR,2025-07-03,14,44.86,69.21
SPRNGFLD_1_SOLAR,2025-07-03,15,28.35,30.84
SPRNGFLD_1_SOLAR,2025-07-03,16,46.69,54.33
SPRNGFLD_1_SOLAR,2025-07-03,17,14.47,3.0
SPRNGFLD_1_SOLAR,2025-07-03,18,-6.75,39.67
SPRNGFLD_1_SOLAR,2025-07-03,19,142.52,208.67
SPRNGFLD_1_SOLAR,2025-07-03,20,122.68,188.08
SPRNGFLD_1_SOLAR,2025-07-03,21,15.58,-0.64
SPRNGFLD_1_SOLAR,2025-07-03,22,37.51,43.05
SPRNGFLD_1_SOLAR,2025-07-03,23,20.33,3.71
SPRNGFLD_1_SOLAR,2025-07-03,24,0.53,-14.47
SPRNGFLD_1_SOLAR,2025-07-04,1,20.54,37.41
SPRNGFLD_1_SOLAR,2025-07-04,2,-21.1,-5.0
SPRNGFLD_1_SOLAR,2025-07-04,3,-5.79,-5.28
SPRNGFLD_1_SOLAR,2025-07-04,4,27.96,25.2
SPRNGFLD_1_SOLAR,2025-07-04,5,13.5,46.75
SPRNGFLD_1_SOLAR,2025-07-04,6,29.43,68.15
SPRNGFLD_1_SOLAR,2025-07-04,7,48.47,28.57
SPRNGFLD_1_SOLAR,2025-07-04,8,27.14,36.53
SPRNGFLD_1_SOLAR,2025-07-04,9,43.64,52.62
SPRNGFLD_1_SOLAR,2025-07-04,10,61.47,50.96
SPRNGFLD_1_SOLAR,2025-07-04,11,29.09,18.13
SPRNGFLD_1_SOLAR,2025-07-04,12,45.72,33.05
SPRNGFLD_1_SOLAR,2025-07-04,13,65.77,56.83
SPRNGFLD_1_SOLAR,2025-07-04,14,39.0,37.5
SPRNGFLD_1_SOLAR,2025-07-04,15,58.75,55.49
SPRNGFLD_1_SOLAR,2025-07-04,16,53.58,64.71
SPRNGFLD_1_SOLAR,2025-07-04,17,39.71,46.32
SPRNGFLD_1_SOLAR,2025-07-04,18,25.12,29.99
SPRNGFLD_1_SOLAR,2025-07-04,19,40.29,87.76
SPRNGFLD_1_SOLAR,2025-07-04,20,32.84,48.13
SPRNGFLD_1_SOLAR,2025-07-04,21,5.41,24.09
SPRNGFLD_1_SOLAR,2025-07-04,22,1.58,1.4
SPRNGFLD_1_SOLAR,2025-07-04,23,6.31,7.06
SPRNGFLD_1_SOLAR,2025-07-04,24,46.76,5.14
SPRNGFLD_1_SOLAR,2025-07-05,1,-41.84,-72.51
SPRNGFLD_1_SOLAR,2025-07-05,2,-28.0,-10.17
SPRNGFLD_1_SOLAR,2025-07-05,3,15.0,18.89
SPRNGFLD_1_SOLAR,2025-07-05,4,42.26,71.54
SPRNGFLD_1_SOLAR,2025-07-05,5,-0.88,7.37
SPRNGFLD_1_SOLAR,2025-07-05,6,15.68,36.17
SPRNGFLD_1_SOLAR,2025-07-05,7,37.06,25.53
SPRNGFLD_1_SOLAR,2025-07-05,8,27.48,58.04
SPRNGFLD_1_SOLAR,2025-07-05,9,26.0,27.12
SPRNGFLD_1_SOLAR,2025-07-05,10,42.58,32.77
SPRNGFLD_1_SOLAR,2025-07-05,11,58.25,73.04
SPRNGFLD_1_SOLAR,2025-07-05,12,34.85,78.54
SPRNGFLD_1_SOLAR,2025-07-05,13,45.63,26.86
SPRNGFLD_1_SOLAR,2025-07-05,14,46.75,73.03
SPRNGFLD_1_SOLAR,2025-07-05,15,62.98,29.96
SPRNGFLD_1_SOLAR,2025-07-05,16,25.51,25.47
SPRNGFLD_1_SOLAR,2025-07-05,17,12.31,-4.27
SPRNGFLD_1_SOLAR,2025-07-05,18,243.96,263.5
SPRNGFLD_1_SOLAR,2025-07-05,19,30.65,60.63
SPRNGFLD_1_SOLAR,2025-07-05,20,327.0,317.53
SPRNGFLD_1_SOLAR,2025-07-05,21,13.57,10.78
SPRNGFLD_1_SOLAR,2025-07-05,22,2.17,23.74
SPRNGFLD_1_SOLAR,2025-07-05,23,31.27,7.97
SPRNGFLD_1_SOLAR,2025-07-05,24,27.81,2.05
SPRNGFLD_1_SOLAR,2025-07-06,1,21.71,17.98
SPRNGFLD_1_SOLAR,2025-07-06,2,4.16,10.93
SPRNGFLD_1_SOLAR,2025-07-06,3,-15.5,-5.91
SPRNGFLD_1_SOLAR,2025-07-06,4,35.1,33.61
SPRNGFLD_1_SOLAR,2025-07-06,5,24.61,31.68
SPRNGFLD_1_SOLAR,2025-07-06,6,38.67,24.87
SPRNGFLD_1_SOLAR,2025-07-06,7,14.24,-1.01
SPRNGFLD_1_SOLAR,2025-07-06,8,43.81,50.74
SPRNGFLD_1_SOLAR,2025-07-06,9,62.85,53.08
SPRNGFLD_1_SOLAR,2025-07-06,10,43.57,47.16
SPRNGFLD_1_SOLAR,2025-07-06,11,58.23,63.4
SPRNGFLD_1_SOLAR,2025-07-06,12,42.45,52.17
SPRNGFLD_1_SOLAR,2025-07-06,13,53.44,37.41
SPRNGFLD_1_SOLAR,2025-07-06,14,53.65,57.22
SPRNGFLD_1_SOLAR,2025-07-06,15,43.79,67.35
SPRNGFLD_1_SOLAR,2025-07-06,16,15.55,11.73
SPRNGFLD_1_SOLAR,2025-07-06,17,42.34,58.63
SPRNGFLD_1_SOLAR,2025-07-06,18,281.1,283.04
SPRNGFLD_1_SOLAR,2025-07-06,19,16.73,15.42
SPRNGFLD_1_SOLAR,2025-07-06,20,15.3,28.97
SPRNGFLD_1_SOLAR,2025-07-06,21,17.93,11.53
SPRNGFLD_1_SOLAR,2025-07-06,22,7.22,8.12
SPRNGFLD_1_SOLAR,2025-07-06,23,19.13,5.53
SPRNGFLD_1_SOLAR,2025-07-06,24,2.59,8.77
SPRNGFLD_1_SOLAR,2025-07-07,1,0.56,-24.91
SPRNGFLD_1_SOLAR,2025-07-07,2,-29.56,5.37
SPRNGFLD_1_SOLAR,2025-07-07,3,5.64,19.04
SPRNGFLD_1_SOLAR,2025-07-07,4,-41.2,-43.95
SPRNGFLD_1_SOLAR,2025-07-07,5,28.94,15.64
SPRNGFLD_1_SOLAR,2025-07-07,6,32.8,58.18
SPRNGFLD_1_SOLAR,2025-07-07,7,27.42,40.12
SPRNGFLD_1_SOLAR,2025-07-07,8,51.94,40.88
SPRNGFLD_1_SOLAR,2025-07-07,9,39.47,46.57
SPRNGFLD_1_SOLAR,2025-07-07,10,69.96,36.7
SPRNGFLD_1_SOLAR,2025-07-07,11,55.32,57.03
SPRNGFLD_1_SOLAR,2025-07-07,12,53.07,73.58
SPRNGFLD_1_SOLAR,2025-07-07,13,-27.33,-34.61
SPRNGFLD_1_SOLAR,2025-07-07,14,70.94,57.1
SPRNGFLD_1_SOLAR,2025-07-07,15,32.65,26.75
SPRNGFLD_1_SOLAR,2025-07-07,16,13.14,10.87
SPRNGFLD_1_SOLAR,2025-07-07,17,25.66,29.85
SPRNGFLD_1_SOLAR,2025-07-07,18,38.75,61.56
SPRNGFLD_1_SOLAR,2025-07-07,19,27.59,45.1
SPRNGFLD_1_SOLAR,2025-07-07,20,5.81,34.27
SPRNGFLD_1_SOLAR,2025-07-07,21,7.63,10.89
SPRNGFLD_1_SOLAR,2025-07-07,22,9.41,-0.83
SPRNGFLD_1_SOLAR,2025-07-07,23,13.85,12.79
SPRNGFLD_1_SOLAR,2025-07-07,24,19.94,16.94
BURNS_1_BESS,2025-07-01,1,-8.62,-27.36
BURNS_1_BESS,2025-07-01,2,17.13,13.43
BURNS_1_BESS,2025-07-01,3,-4.55,-31.06
BURNS_1_BESS,2025-07-01,4,4.17,14.34
BURNS_1_BESS,2025-07-01,5,3.76,28.65
BURNS_1_BESS,2025-07-01,6,33.73,22.09
BURNS_1_BESS,2025-07-01,7,50.56,52.43
BURNS_1_BESS,2025-07-01,8,50.64,52.8
BURNS_1_BESS,2025-07-01,9,68.88,91.08
BURNS_1_BESS,2025-07-01,10,52.23,59.4
BURNS_1_BESS,2025-07-01,11,69.81,76.3
BURNS_1_BESS,2025-07-01,12,-28.66,-39.35
BURNS_1_BESS,2025-07-01,13,28.22,53.68
BURNS_1_BESS,2025-07-01,14,50.25,55.39
BURNS_1_BESS,2025-07-01,15,61.07,60.28
BURNS_1_BESS,2025-07-01,16,52.56,35.59
BURNS_1_BESS,2025-07-01,17,13.97,17.31
BURNS_1_BESS,2025-07-01,18,42.48,33.35
BURNS_1_BESS,2025-07-01,19,28.07,14.43
BURNS_1_BESS,2025-07-01,20,14.65,9.57
BURNS_1_BESS,2025-07-01,21,32.37,18.97
BURNS_1_BESS,2025-07-01,22,39.82,28.44
BURNS_1_BESS,2025-07-01,23,-3.32,-0.93
BURNS_1_BESS,2025-07-01,24,3.02,-6.54
BURNS_1_BESS,2025-07-02,1,14.1,-6.53
BURNS_1_BESS,2025-07-02,2,-2.83,-13.5
BURNS_1_BESS,2025-07-02,3,10.85,12.07
BURNS_1_BESS,2025-07-02,4,37.81,19.2
BURNS_1_BESS,2025-07-02,5,22.83,10.88
BURNS_1_BESS,2025-07-02,6,26.99,-7.28
BURNS_1_BESS,2025-07-02,7,8.32,40.52
BURNS_1_BESS,2025-07-02,8,58.77,52.71
BURNS_1_BESS,2025-07-02,9,41.33,54.58
BURNS_1_BESS,2025-07-02,10,66.68,94.9
BURNS_1_BESS,2025-07-02,11,36.57,33.71
BURNS_1_BESS,2025-07-02,12,39.61,28.32
BURNS_1_BESS,2025-07-02,13,5.78,-26.15
BURNS_1_BESS,2025-07-02,14,60.5,77.41
BURNS_1_BESS,2025-07-02,15,35.67,66.26
BURNS_1_BESS,2025-07-02,16,41.42,27.85
BURNS_1_BESS,2025-07-02,17,36.45,58.49
BURNS_1_BESS,2025-07-02,18,12.75,16.77
BURNS_1_BESS,2025-07-02,19,34.23,19.14
BURNS_1_BESS,2025-07-02,20,-2.68,14.45
BURNS_1_BESS,2025-07-02,21,8.61,1.89
BURNS_1_BESS,2025-07-02,22,28.8,2.66
BURNS_1_BESS,2025-07-02,23,6.39,-5.78
BURNS_1_BESS,2025-07-02,24,-24.61,-4.76
BURNS_1_BESS,2025-07-03,1,21.04,13.31
BURNS_1_BESS,2025-07-03,2,8.7,18.24
BURNS_1_BESS,2025-07-03,3,29.5,24.25
BURNS_1_BESS,2025-07-03,4,-10.96,11.46
BURNS_1_BESS,2025-07-03,5,5.73,4.15
BURNS_1_BESS,2025-07-03,6,39.87,-8.31
BURNS_1_BESS,2025-07-03,7,29.41,25.99
BURNS_1_BESS,2025-07-03,8,30.2,36.73
BURNS_1_BESS,2025-07-03,9,27.83,36.77
BURNS_1_BESS,2025-07-03,10,71.08,50.99
BURNS_1_BESS,2025-07-03,11,-53.64,-53.26
BURNS_1_BESS,2025-07-03,12,41.32,55.38
BURNS_1_BESS,2025-07-03,13,31.14,76.24
BURNS_1_BESS,2025-07-03,14,37.84,14.13
BURNS_1_BESS,2025-07-03,15,59.52,47.18
BURNS_1_BESS,2025-07-03,16,48.02,68.58
BURNS_1_BESS,2025-07-03,17,46.52,35.69
BURNS_1_BESS,2025-07-03,18,-27.42,32.87
BURNS_1_BESS,2025-07-03,19,-14.02,22.46
BURNS_1_BESS,2025-07-03,20,-69.18,3.33
BURNS_1_BESS,2025-07-03,21,31.77,21.75
BURNS_1_BESS,2025-07-03,22,0.5,-22.82
BURNS_1_BESS,2025-07-03,23,-7.29,-13.3
BURNS_1_BESS,2025-07-03,24,11.58,35.33
BURNS_1_BESS,2025-07-04,1,10.65,10.66
BURNS_1_BESS,2025-07-04,2,19.3,23.03
BURNS_1_BESS,2025-07-04,3,-12.69,2.89
BURNS_1_BESS,2025-07-04,4,38.38,60.39
BURNS_1_BESS,2025-07-04,5,11.39,26.01
BURNS_1_BESS,2025-07-04,6,19.77,6.83
BURNS_1_BESS,2025-07-04,7,49.63,56.3
BURNS_1_BESS,2025-07-04,8,23.72,48.96
BURNS_1_BESS,2025-07-04,9,49.74,50.34
BURNS_1_BESS,2025-07-04,10,39.48,34.76
BURNS_1_BESS,2025-07-04,11,58.98,73.56
BURNS_1_BESS,2025-07-04,12,54.22,82.28
BURNS_1_BESS,2025-07-04,13,36.81,31.04
BURNS_1_BESS,2025-07-04,14,26.27,51.97
BURNS_1_BESS,2025-07-04,15,37.0,49.86
BURNS_1_BESS,2025-07-04,16,23.01,25.92
BURNS_1_BESS,2025-07-04,17,57.31,61.57
BURNS_1_BESS,2025-07-04,18,48.32,41.98
BURNS_1_BESS,2025-07-04,19,34.6,33.62
BURNS_1_BESS,2025-07-04,20,24.33,59.0
BURNS_1_BESS,2025-07-04,21,11.95,19.2
BURNS_1_BESS,2025-07-04,22,8.37,23.5
BURNS_1_BESS,2025-07-04,23,37.4,43.93
BURNS_1_BESS,2025-07-04,24,13.63,2.12
BURNS_1_BESS,2025-07-05,1,-48.41,-43.73
BURNS_1_BESS,2025-07-05,2,27.79,-13.61
BURNS_1_BESS,2025-07-05,3,-2.87,-16.47
BURNS_1_BESS,2025-07-05,4,15.38,1.06
BURNS_1_BESS,2025-07-05,5,24.09,18.28
BURNS_1_BESS,2025-07-05,6,-4.91,2.22
BURNS_1_BESS,2025-07-05,7,34.87,43.31
BURNS_1_BESS,2025-07-05,8,61.44,75.39
BURNS_1_BESS,2025-07-05,9,41.36,24.85
BURNS_1_BESS,2025-07-05,10,83.74,73.94
BURNS_1_BESS,2025-07-05,11,61.65,49.1
BURNS_1_BESS,2025-07-05,12,43.14,51.18
BURNS_1_BESS,2025-07-05,13,52.37,40.84
BURNS_1_BESS,2025-07-05,14,55.56,21.32
BURNS_1_BESS,2025-07-05,15,14.41,4.75
