node,operating_date,hour_ending,da_lmp,rt_lmp
SPRNGFLD_1_SOLAR,2025-07-01,1,29.97,27.9
SPRNGFLD_1_SOLAR,2025-07-01,2,31.48,54.33
SPRNGFLD_1_SOLAR,2025-07-01,3,22.66,19.15
SPRNGFLD_1_SOLAR,2025-07-01,4,40.79,52.3
SPRNGFLD_1_SOLAR,2025-07-01,5,20.31,28.45
SPRNGFLD_1_SOLAR,2025-07-01,6,20.37,13.38
SPRNGFLD_1_SOLAR,2025-07-01,7,48.63,19.93
SPRNGFLD_1_SOLAR,2025-07-01,8,19.13,10.7
SPRNGFLD_1_SOLAR,2025-07-01,9,29.81,34.52
SPRNGFLD_1_SOLAR,2025-07-01,10,31.38,10.2
SPRNGFLD_1_SOLAR,2025-07-01,11,51.64,48.25
SPRNGFLD_1_SOLAR,2025-07-01,12,16.69,-4.68
SPRNGFLD_1_SOLAR,2025-07-01,13,1.39,3.05
SPRNGFLD_1_SOLAR,2025-07-01,14,-13.77,-8.13
SPRNGFLD_1_SOLAR,2025-07-01,15,-0.02,-4.4
SPRNGFLD_1_SOLAR,2025-07-01,16,-0.04,27.74
SPRNGFLD_1_SOLAR,2025-07-01,17,79.6,63.73
SPRNGFLD_1_SOLAR,2025-07-01,18,104.68,86.37
SPRNGFLD_1_SOLAR,2025-07-01,19,86.27,56.87
SPRNGFLD_1_SOLAR,2025-07-01,20,40.15,43.1
SPRNGFLD_1_SOLAR,2025-07-01,21,43.86,46.43
SPRNGFLD_1_SOLAR,2025-07-01,22,33.61,29.09
SPRNGFLD_1_SOLAR,2025-07-01,23,17.26,6.46
SPRNGFLD_1_SOLAR,2025-07-01,24,29.47,45.33
SPRNGFLD_1_SOLAR,2025-07-02,1,28.44,1.99
SPRNGFLD_1_SOLAR,2025-07-02,2,28.24,22.46
SPRNGFLD_1_SOLAR,2025-07-02,3,18.23,27.41
SPRNGFLD_1_SOLAR,2025-07-02,4,35.31,49.28
SPRNGFLD_1_SOLAR,2025-07-02,5,16.61,11.97
SPRNGFLD_1_SOLAR,2025-07-02,6,28.31,42.94
SPRNGFLD_1_SOLAR,2025-07-02,7,37.81,35.03
SPRNGFLD_1_SOLAR,2025-07-02,8,28.4,10.46
SPRNGFLD_1_SOLAR,2025-07-02,9,57.19,77.53
SPRNGFLD_1_SOLAR,2025-07-02,10,43.92,58.97
SPRNGFLD_1_SOLAR,2025-07-02,11,24.04,14.36
SPRNGFLD_1_SOLAR,2025-07-02,12,24.03,47.1
SPRNGFLD_1_SOLAR,2025-07-02,13,14.1,37.57
SPRNGFLD_1_SOLAR,2025-07-02,14,-50.49,-38.16
SPRNGFLD_1_SOLAR,2025-07-02,15,17.18,12.69
SPRNGFLD_1_SOLAR,2025-07-02,16,17.29,-12.52
SPRNGFLD_1_SOLAR,2025-07-02,17,73.41,78.77
SPRNGFLD_1_SOLAR,2025-07-02,18,124.34,116.57
SPRNGFLD_1_SOLAR,2025-07-02,19,55.75,48.22
SPRNGFLD_1_SOLAR,2025-07-02,20,107.46,112.39
SPRNGFLD_1_SOLAR,2025-07-02,21,28.64,36.34
SPRNGFLD_1_SOLAR,2025-07-02,22,36.16,50.69
SPRNGFLD_1_SOLAR,2025-07-02,23,26.58,21.67
SPRNGFLD_1_SOLAR,2025-07-02,24,30.29,8.34
SPRNGFLD_1_SOLAR,2025-07-03,1,27.96,31.88
SPRNGFLD_1_SOLAR,2025-07-03,2,25.05,21.53
SPRNGFLD_1_SOLAR,2025-07-03,3,10.85,4.54
SPRNGFLD_1_SOLAR,2025-07-03,4,21.57,9.54
SPRNGFLD_1_SOLAR,2025-07-03,5,23.39,29.45
SPRNGFLD_1_SOLAR,2025-07-03,6,43.86,46.48
SPRNGFLD_1_SOLAR,2025-07-03,7,48.86,47.74
SPRNGFLD_1_SOLAR,2025-07-03,8,16.22,15.82
SPRNGFLD_1_SOLAR,2025-07-03,9,45.9,82.85
SPRNGFLD_1_SOLAR,2025-07-03,10,42.11,46.63
SPRNGFLD_1_SOLAR,2025-07-03,11,-63.37,-46.23
SPRNGFLD_1_SOLAR,2025-07-03,12,-24.18,-37.82
SPRNGFLD_1_SOLAR,2025-07-03,13,-68.04,-59.24
SPRNGFLD_1_SOLAR,2025-07-03,14,-59.81,-68.3
SPRNGFLD_1_SOLAR,2025-07-03,15,-50.07,-73.33
SPRNGFLD_1_SOLAR,2025-07-03,16,16.71,0.78
SPRNGFLD_1_SOLAR,2025-07-03,17,94.21,80.42
SPRNGFLD_1_SOLAR,2025-07-03,18,126.5,114.75
SPRNGFLD_1_SOLAR,2025-07-03,19,70.34,82.54
SPRNGFLD_1_SOLAR,2025-07-03,20,43.07,46.48
SPRNGFLD_1_SOLAR,2025-07-03,21,50.69,26.58
SPRNGFLD_1_SOLAR,2025-07-03,22,37.22,41.12
SPRNGFLD_1_SOLAR,2025-07-03,23,44.38,25.83
SPRNGFLD_1_SOLAR,2025-07-03,24,19.15,26.98
SPRNGFLD_1_SOLAR,2025-07-04,1,27.97,31.73
SPRNGFLD_1_SOLAR,2025-07-04,2,28.46,18.26
SPRNGFLD_1_SOLAR,2025-07-04,3,27.32,31.72
SPRNGFLD_1_SOLAR,2025-07-04,4,17.86,45.85
SPRNGFLD_1_SOLAR,2025-07-04,5,29.74,11.87
SPRNGFLD_1_SOLAR,2025-07-04,6,31.57,16.95
SPRNGFLD_1_SOLAR,2025-07-04,7,56.81,74.19
SPRNGFLD_1_SOLAR,2025-07-04,8,32.69,47.14
SPRNGFLD_1_SOLAR,2025-07-04,9,51.19,63.52
SPRNGFLD_1_SOLAR,2025-07-04,10,73.45,69.77
SPRNGFLD_1_SOLAR,2025-07-04,11,-3.84,-17.18
SPRNGFLD_1_SOLAR,2025-07-04,12,-5.4,-6.56
SPRNGFLD_1_SOLAR,2025-07-04,13,23.53,27.68
SPRNGFLD_1_SOLAR,2025-07-04,14,35.68,35.88
SPRNGFLD_1_SOLAR,2025-07-04,15,51.34,47.37
SPRNGFLD_1_SOLAR,2025-07-04,16,83.0,92.39
SPRNGFLD_1_SOLAR,2025-07-04,17,54.29,38.23
SPRNGFLD_1_SOLAR,2025-07-04,18,94.47,91.12
SPRNGFLD_1_SOLAR,2025-07-04,19,101.42,108.52
SPRNGFLD_1_SOLAR,2025-07-04,20,77.82,65.12
SPRNGFLD_1_SOLAR,2025-07-04,21,16.82,10.12
SPRNGFLD_1_SOLAR,2025-07-04,22,45.28,48.49
SPRNGFLD_1_SOLAR,2025-07-04,23,20.05,22.65
SPRNGFLD_1_SOLAR,2025-07-04,24,39.62,26.36
SPRNGFLD_1_SOLAR,2025-07-05,1,18.58,19.45
SPRNGFLD_1_SOLAR,2025-07-05,2,9.5,14.87
SPRNGFLD_1_SOLAR,2025-07-05,3,21.43,37.68
SPRNGFLD_1_SOLAR,2025-07-05,4,24.88,4.21
SPRNGFLD_1_SOLAR,2025-07-05,5,10.94,18.67
SPRNGFLD_1_SOLAR,2025-07-05,6,21.1,28.83
SPRNGFLD_1_SOLAR,2025-07-05,7,71.95,80.51
SPRNGFLD_1_SOLAR,2025-07-05,8,43.42,57.73
SPRNGFLD_1_SOLAR,2025-07-05,9,38.34,33.61
SPRNGFLD_1_SOLAR,2025-07-05,10,39.47,27.88
SPRNGFLD_1_SOLAR,2025-07-05,11,6.36,-0.92
SPRNGFLD_1_SOLAR,2025-07-05,12,11.93,46.65
SPRNGFLD_1_SOLAR,2025-07-05,13,-22.18,-11.89
SPRNGFLD_1_SOLAR,2025-07-05,14,-17.72,-24.8
SPRNGFLD_1_SOLAR,2025-07-05,15,29.56,30.52
SPRNGFLD_1_SOLAR,2025-07-05,16,-8.36,-19.09
SPRNGFLD_1_SOLAR,2025-07-05,17,70.27,59.31
SPRNGFLD_1_SOLAR,2025-07-05,18,60.55,61.23
SPRNGFLD_1_SOLAR,2025-07-05,19,457.2,466.71
SPRNGFLD_1_SOLAR,2025-07-05,20,13.47,16.27
SPRNGFLD_1_SOLAR,2025-07-05,21,18.94,31.73
SPRNGFLD_1_SOLAR,2025-07-05,22,17.84,16.12
SPRNGFLD_1_SOLAR,2025-07-05,23,28.74,41.73
SPRNGFLD_1_SOLAR,2025-07-05,24,14.42,9.4
SPRNGFLD_1_SOLAR,2025-07-06,1,14.18,4.38
SPRNGFLD_1_SOLAR,2025-07-06,2,29.86,35.93
SPRNGFLD_1_SOLAR,2025-07-06,3,8.67,22.44
SPRNGFLD_1_SOLAR,2025-07-06,4,32.36,47.85
SPRNGFLD_1_SOLAR,2025-07-06,5,6.86,-0.4
SPRNGFLD_1_SOLAR,2025-07-06,6,26.37,15.75
SPRNGFLD_1_SOLAR,2025-07-06,7,36.16,47.78
SPRNGFLD_1_SOLAR,2025-07-06,8,21.77,20.88
SPRNGFLD_1_SOLAR,2025-07-06,9,-2.53,-17.9
SPRNGFLD_1_SOLAR,2025-07-06,10,28.85,10.13
SPRNGFLD_1_SOLAR,2025-07-06,11,-68.6,-75.2
SPRNGFLD_1_SOLAR,2025-07-06,12,-11.17,-32.71
SPRNGFLD_1_SOLAR,2025-07-06,13,-39.8,-54.52
SPRNGFLD_1_SOLAR,2025-07-06,14,-36.02,-45.02
SPRNGFLD_1_SOLAR,2025-07-06,15,-47.71,-46.01
SPRNGFLD_1_SOLAR,2025-07-06,16,22.09,45.88
SPRNGFLD_1_SOLAR,2025-07-06,17,30.01,62.01
SPRNGFLD_1_SOLAR,2025-07-06,18,15.01,12.73
SPRNGFLD_1_SOLAR,2025-07-06,19,68.35,72.56
SPRNGFLD_1_SOLAR,2025-07-06,20,42.92,39.8
SPRNGFLD_1_SOLAR,2025-07-06,21,20.36,11.52
SPRNGFLD_1_SOLAR,2025-07-06,22,31.64,37.0
SPRNGFLD_1_SOLAR,2025-07-06,23,18.68,32.17
SPRNGFLD_1_SOLAR,2025-07-06,24,27.08,39.27
SPRNGFLD_1_SOLAR,2025-07-07,1,31.3,18.87
SPRNGFLD_1_SOLAR,2025-07-07,2,19.4,30.61
SPRNGFLD_1_SOLAR,2025-07-07,3,31.1,30.79
SPRNGFLD_1_SOLAR,2025-07-07,4,26.17,45.33
SPRNGFLD_1_SOLAR,2025-07-07,5,19.08,27.29
SPRNGFLD_1_SOLAR,2025-07-07,6,22.98,19.71
SPRNGFLD_1_SOLAR,2025-07-07,7,61.48,73.86
SPRNGFLD_1_SOLAR,2025-07-07,8,57.2,76.78
SPRNGFLD_1_SOLAR,2025-07-07,9,45.32,55.55
SPRNGFLD_1_SOLAR,2025-07-07,10,40.35,45.21
SPRNGFLD_1_SOLAR,2025-07-07,11,11.75,13.2
SPRNGFLD_1_SOLAR,2025-07-07,12,29.88,17.61
SPRNGFLD_1_SOLAR,2025-07-07,13,67.31,52.22
SPRNGFLD_1_SOLAR,2025-07-07,14,-15.35,2.02
SPRNGFLD_1_SOLAR,2025-07-07,15,34.79,44.15
