resource_id,operating_date,hour_ending,ver_mw
RES-001,2025-07-01,1,0.0
RES-001,2025-07-01,2,0.0
RES-001,2025-07-01,3,0.0
RES-001,2025-07-01,4,0.0
RES-001,2025-07-01,5,0.0
RES-001,2025-07-01,6,0.0
RES-001,2025-07-01,7,3.9
RES-001,2025-07-01,8,13.0
RES-001,2025-07-01,9,21.0
RES-001,2025-07-01,10,26.3
RES-001,2025-07-01,11,34.0
RES-001,2025-07-01,12,42.2
RES-001,2025-07-01,13,36.1
RES-001,2025-07-01,14,35.8
RES-001,2025-07-01,15,30.9
RES-001,2025-07-01,16,32.6
RES-001,2025-07-01,17,22.8
RES-001,2025-07-01,18,13.2
RES-001,2025-07-01,19,4.8
RES-001,2025-07-01,20,0.0
RES-001,2025-07-01,21,0.0
RES-001,2025-07-01,22,0.0
RES-001,2025-07-01,23,0.0
RES-001,2025-07-01,24,0.0
RES-001,2025-07-02,1,0.0
RES-001,2025-07-02,2,0.0
RES-001,2025-07-02,3,0.0
RES-001,2025-07-02,4,0.0
RES-001,2025-07-02,5,0.0
RES-001,2025-07-02,6,0.0
RES-001,2025-07-02,7,4.7
RES-001,2025-07-02,8,10.2
RES-001,2025-07-02,9,21.8
RES-001,2025-07-02,10,32.3
RES-001,2025-07-02,11,36.4
RES-001,2025-07-02,12,38.9
RES-001,2025-07-02,13,39.2
RES-001,2025-07-02,14,43.0
RES-001,2025-07-02,15,38.8
RES-001,2025-07-02,16,33.2
RES-001,2025-07-02,17,19.8
RES-001,2025-07-02,18,13.3
RES-001,2025-07-02,19,4.6
RES-001,2025-07-02,20,0.0
RES-001,2025-07-02,21,0.0
RES-001,2025-07-02,22,0.0
RES-001,2025-07-02,23,0.0
RES-001,2025-07-02,24,0.0
RES-001,2025-07-03,1,0.0
RES-001,2025-07-03,2,0.0
RES-001,2025-07-03,3,0.0
RES-001,2025-07-03,4,0.0
RES-001,2025-07-03,5,0.0
RES-001,2025-07-03,6,0.0
RES-001,2025-07-03,7,4.5
RES-001,2025-07-03,8,12.5
RES-001,2025-07-03,9,22.8
RES-001,2025-07-03,10,34.2
RES-001,2025-07-03,11,30.9
RES-001,2025-07-03,12,34.5
RES-001,2025-07-03,13,49.1
RES-001,2025-07-03,14,41.3
RES-001,2025-07-03,15,37.8
RES-001,2025-07-03,16,29.2
RES-001,2025-07-03,17,17.9
RES-001,2025-07-03,18,13.3
RES-001,2025-07-03,19,4.9
RES-001,2025-07-03,20,0.0
RES-001,2025-07-03,21,0.0
RES-001,2025-07-03,22,0.0
RES-001,2025-07-03,23,0.0
RES-001,2025-07-03,24,0.0
RES-001,2025-07-04,1,0.0
RES-001,2025-07-04,2,0.0
RES-001,2025-07-04,3,0.0
RES-001,2025-07-04,4,0.0
RES-001,2025-07-04,5,0.0
RES-001,2025-07-04,6,0.0
RES-001,2025-07-04,7,5.0
RES-001,2025-07-04,8,10.3
RES-001,2025-07-04,9,23.7
RES-001,2025-07-04,10,26.9
RES-001,2025-07-04,11,37.5
RES-001,2025-07-04,12,47.2
